"Number of households by type of outer wall","Number"
"BambooWall","806"
"Cement Bonded Bricks/Stone Wall","1044"
"Mud Bonded Bricks/Stone Wall","5370"
"Not Stated about Wall","45"
"Other Type Wall","391"
"Unbaked Bricks","84"
"Wood/Planks","237"
"Total","7977"
