"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","38"
"Christianity","1"
"Hindu","41404"
"Islam","13457"
"Jainism","0"
"Kirat","0"
"Prakriti","0"
"Sikhism","0"
"Undefined","1"
"Total","54901"
