"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","282"
"Male","239"
"Chhetri",""
"Female","814"
"Male","713"
"Dalit Others",""
"Female","7"
"Male","7"
"Damai/Dholi",""
"Female","244"
"Male","211"
"Gharti/Bhujel",""
"Female","7"
"Male","8"
"Gurung",""
"Female","95"
"Male","76"
"Kami",""
"Female","257"
"Male","209"
"Magar",""
"Female","12"
"Male","11"
"Newar",""
"Female","1786"
"Male","1594"
"Others",""
"Female","22"
"Male","35"
"Pahari",""
"Female","35"
"Male","42"
"Sanyasi/Dasnami",""
"Female","9"
"Male","3"
"Sarki",""
"Female","16"
"Male","18"
"Tamang",""
"Female","4446"
"Male","3935"
