"Population by Five Years Age Group","Number"
"0-4",""
"Female","748"
"Male","737"
"10-14",""
"Female","1106"
"Male","1182"
"15-19",""
"Female","1014"
"Male","1001"
"20-24",""
"Female","832"
"Male","488"
"25-29",""
"Female","612"
"Male","395"
"30-34",""
"Female","510"
"Male","332"
"35-39",""
"Female","533"
"Male","390"
"40-44",""
"Female","426"
"Male","414"
"45-49",""
"Female","375"
"Male","335"
"50-54",""
"Female","361"
"Male","336"
"55-59",""
"Female","270"
"Male","269"
"5-9",""
"Female","831"
"Male","945"
"60-64",""
"Female","310"
"Male","279"
"65-69",""
"Female","237"
"Male","197"
"70-74",""
"Female","189"
"Male","193"
"75+",""
"Female","331"
"Male","300"
