"Number of households by type of outer wall","Number"
"BambooWall","9560"
"Cement Bonded Bricks/Stone Wall","1144"
"Mud Bonded Bricks/Stone Wall","197"
"Not Stated about Wall","37"
"Other Type Wall","191"
"Unbaked Bricks","24"
"Wood/Planks","1329"
"Total","12482"
