"Population by Mother tongue","Number"
"Bangla",""
"Female","255"
"Male","236"
"","491"
"Bantawa",""
"Female","22"
"Male","13"
"","35"
"Bhojpuri",""
"Female","67"
"Male","70"
"","137"
"Dhimal",""
"Female","52"
"Male","37"
"","89"
"Ganagai",""
"Female","434"
"Male","358"
"","792"
"Gurung",""
"Female","27"
"Male","30"
"","57"
"Hindi",""
"Female","43"
"Male","46"
"","89"
"Hyolmo/Yholmo",""
"Female","10"
"Male","7"
"","17"
"Kulung",""
"Female","7"
"Male","8"
"","15"
"Limbu",""
"Female","558"
"Male","457"
"","1015"
"Magar",""
"Female","149"
"Male","126"
"","275"
"Maithili",""
"Female","5407"
"Male","5451"
"","10858"
"Majhi",""
"Female","71"
"Male","53"
"","124"
"Meche",""
"Female","5"
"Male","6"
"","11"
"Nepali",""
"Female","12242"
"Male","10327"
"","22569"
"Newar",""
"Female","296"
"Male","249"
"","545"
"Not Reported",""
"Female","105"
"Male","97"
"","202"
"Others",""
"Female","107"
"Male","84"
"","191"
"Rai",""
"Female","298"
"Male","238"
"","536"
"Rajbanshi",""
"Female","2737"
"Male","2681"
"","5418"
"Rajsthani",""
"Female","5"
"Male","7"
"","12"
"Sampang",""
"Female","19"
"Male","13"
"","32"
"Santhali",""
"Female","1285"
"Male","1198"
"","2483"
"Sunuwar",""
"Female","27"
"Male","26"
"","53"
"Tajpuriya",""
"Female","2383"
"Male","2282"
"","4665"
"Tamang",""
"Female","287"
"Male","224"
"","511"
"Tharu",""
"Female","227"
"Male","203"
"","430"
"Urdu",""
"Female","1886"
"Male","1766"
"","3652"
"Yakkha",""
"Female","34"
"Male","42"
"","76"
