"Population by Five Years Age Group","Number"
"0-4",""
"Female","2249"
"Male","2331"
"10-14",""
"Female","3748"
"Male","3736"
"15-19",""
"Female","3510"
"Male","2950"
"20-24",""
"Female","3120"
"Male","1706"
"25-29",""
"Female","2711"
"Male","1369"
"30-34",""
"Female","2178"
"Male","1164"
"35-39",""
"Female","1904"
"Male","1159"
"40-44",""
"Female","1696"
"Male","1226"
"45-49",""
"Female","1389"
"Male","1121"
"50-54",""
"Female","1217"
"Male","1069"
"55-59",""
"Female","982"
"Male","947"
"5-9",""
"Female","2972"
"Male","3157"
"60-64",""
"Female","884"
"Male","820"
"65-69",""
"Female","617"
"Male","669"
"70-74",""
"Female","415"
"Male","450"
"75+",""
"Female","513"
"Male","445"
