"Population by Single Year of Age","Number"
"0",""
"Female","379"
"Male","466"
"1",""
"Female","382"
"Male","484"
"10",""
"Female","587"
"Male","674"
"11",""
"Female","521"
"Male","582"
"12",""
"Female","584"
"Male","656"
"13",""
"Female","640"
"Male","649"
"14",""
"Female","679"
"Male","707"
"15",""
"Female","659"
"Male","704"
"16",""
"Female","685"
"Male","717"
"17",""
"Female","680"
"Male","644"
"18",""
"Female","786"
"Male","819"
"19",""
"Female","561"
"Male","637"
"2",""
"Female","393"
"Male","509"
"20",""
"Female","867"
"Male","841"
"21",""
"Female","635"
"Male","602"
"22",""
"Female","845"
"Male","787"
"23",""
"Female","677"
"Male","589"
"24",""
"Female","782"
"Male","612"
"25",""
"Female","909"
"Male","663"
"26",""
"Female","656"
"Male","558"
"27",""
"Female","661"
"Male","546"
"28",""
"Female","823"
"Male","669"
"29",""
"Female","435"
"Male","390"
"3",""
"Female","377"
"Male","437"
"30",""
"Female","959"
"Male","920"
"31",""
"Female","339"
"Male","369"
"32",""
"Female","590"
"Male","560"
"33",""
"Female","406"
"Male","432"
"34",""
"Female","424"
"Male","426"
"35",""
"Female","872"
"Male","778"
"36",""
"Female","440"
"Male","410"
"37",""
"Female","325"
"Male","344"
"38",""
"Female","438"
"Male","463"
"39",""
"Female","227"
"Male","258"
"4",""
"Female","450"
"Male","505"
"40",""
"Female","821"
"Male","839"
"41",""
"Female","205"
"Male","240"
"42",""
"Female","368"
"Male","403"
"43",""
"Female","223"
"Male","270"
"44",""
"Female","199"
"Male","229"
"45",""
"Female","473"
"Male","522"
"46",""
"Female","236"
"Male","251"
"47",""
"Female","171"
"Male","192"
"48",""
"Female","270"
"Male","317"
"49",""
"Female","146"
"Male","191"
"5",""
"Female","475"
"Male","591"
"50",""
"Female","415"
"Male","431"
"51",""
"Female","128"
"Male","131"
"52",""
"Female","176"
"Male","207"
"53",""
"Female","136"
"Male","128"
"54",""
"Female","129"
"Male","132"
"55",""
"Female","301"
"Male","271"
"56",""
"Female","132"
"Male","156"
"57",""
"Female","119"
"Male","145"
"58",""
"Female","151"
"Male","171"
"59",""
"Female","77"
"Male","88"
"6",""
"Female","461"
"Male","505"
"60",""
"Female","320"
"Male","304"
"61",""
"Female","112"
"Male","95"
"62",""
"Female","109"
"Male","124"
"63",""
"Female","83"
"Male","91"
"64",""
"Female","87"
"Male","70"
"65",""
"Female","223"
"Male","168"
"66",""
"Female","83"
"Male","83"
"67",""
"Female","84"
"Male","76"
"68",""
"Female","123"
"Male","115"
"69",""
"Female","45"
"Male","56"
"7",""
"Female","499"
"Male","530"
"70",""
"Female","167"
"Male","137"
"71",""
"Female","38"
"Male","39"
"72",""
"Female","77"
"Male","59"
"73",""
"Female","47"
"Male","48"
"74",""
"Female","38"
"Male","33"
"75",""
"Female","93"
"Male","66"
"76",""
"Female","47"
"Male","38"
"77",""
"Female","40"
"Male","37"
"78",""
"Female","73"
"Male","57"
"79",""
"Female","32"
"Male","29"
"8",""
"Female","529"
"Male","589"
"80",""
"Female","69"
"Male","60"
"81",""
"Female","17"
"Male","7"
"82",""
"Female","25"
"Male","24"
"83",""
"Female","20"
"Male","13"
"84",""
"Female","21"
"Male","26"
"85",""
"Female","85"
"Male","81"
"9",""
"Female","490"
"Male","520"
