"Population by Five Years Age Group","Number"
"0-4",""
"Female","1981"
"Male","2401"
"10-14",""
"Female","3011"
"Male","3268"
"15-19",""
"Female","3371"
"Male","3521"
"20-24",""
"Female","3806"
"Male","3431"
"25-29",""
"Female","3484"
"Male","2826"
"30-34",""
"Female","2718"
"Male","2707"
"35-39",""
"Female","2302"
"Male","2253"
"40-44",""
"Female","1816"
"Male","1981"
"45-49",""
"Female","1296"
"Male","1473"
"50-54",""
"Female","984"
"Male","1029"
"55-59",""
"Female","780"
"Male","831"
"5-9",""
"Female","2454"
"Male","2735"
"60-64",""
"Female","711"
"Male","684"
"65-69",""
"Female","558"
"Male","498"
"70-74",""
"Female","367"
"Male","316"
"75+",""
"Female","522"
"Male","438"
