"Population by Five Years Age Group","Number"
"0-4",""
"Female","1362"
"Male","1282"
"10-14",""
"Female","1648"
"Male","1550"
"15-19",""
"Female","1216"
"Male","1043"
"20-24",""
"Female","1070"
"Male","683"
"25-29",""
"Female","832"
"Male","450"
"30-34",""
"Female","615"
"Male","389"
"35-39",""
"Female","567"
"Male","360"
"40-44",""
"Female","471"
"Male","351"
"45-49",""
"Female","383"
"Male","348"
"50-54",""
"Female","290"
"Male","307"
"55-59",""
"Female","237"
"Male","279"
"5-9",""
"Female","1552"
"Male","1578"
"60-64",""
"Female","219"
"Male","229"
"65-69",""
"Female","140"
"Male","179"
"70-74",""
"Female","93"
"Male","91"
"75+",""
"Female","97"
"Male","98"
