"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","251"
"Male","232"
"Chhetri",""
"Female","34"
"Male","42"
"Damai/Dholi",""
"Female","21"
"Male","20"
"Ghale",""
"Female","76"
"Male","69"
"Gharti/Bhujel",""
"Female","34"
"Male","31"
"Gurung",""
"Female","31"
"Male","23"
"Kami",""
"Female","405"
"Male","295"
"Magar",""
"Female","89"
"Male","86"
"Newar",""
"Female","186"
"Male","134"
"Others",""
"Female","9"
"Male","28"
"Sonar",""
"Female","50"
"Male","47"
"Tamang",""
"Female","6234"
"Male","5052"
