"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","147"
"Male","147"
"","294"
"Chhetri",""
"Female","3374"
"Male","3232"
"","6606"
"Damai/Dholi",""
"Female","86"
"Male","100"
"","186"
"Gurung",""
"Female","101"
"Male","83"
"","184"
"Kami",""
"Female","489"
"Male","465"
"","954"
"Magar",""
"Female","556"
"Male","564"
"","1120"
"Newar",""
"Female","22"
"Male","15"
"","37"
"Others",""
"Female","7"
"Male","4"
"","11"
"Sanyasi/Dasnami",""
"Female","18"
"Male","21"
"","39"
"Sarki",""
"Female","147"
"Male","133"
"","280"
"Tamang",""
"Female","11"
"Male","16"
"","27"
"Thakuri",""
"Female","180"
"Male","186"
"","366"
