"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","597"
"Christianity","123"
"Hindu","9592"
"Islam","1"
"Jainism","0"
"Kirat","0"
"Prakriti","0"
"Sikhism","0"
"Undefined","0"
"Total","10313"
