"Population by Single Year of Age","Number"
"0",""
"Female","6"
"Male","11"
"1",""
"Female","12"
"Male","20"
"10",""
"Female","54"
"Male","51"
"11",""
"Female","24"
"Male","27"
"12",""
"Female","42"
"Male","33"
"13",""
"Female","27"
"Male","23"
"14",""
"Female","33"
"Male","27"
"15",""
"Female","28"
"Male","27"
"16",""
"Female","26"
"Male","25"
"17",""
"Female","17"
"Male","14"
"18",""
"Female","28"
"Male","28"
"19",""
"Female","25"
"Male","18"
"2",""
"Female","46"
"Male","43"
"20",""
"Female","37"
"Male","30"
"21",""
"Female","26"
"Male","18"
"22",""
"Female","23"
"Male","24"
"23",""
"Female","17"
"Male","25"
"24",""
"Female","25"
"Male","22"
"25",""
"Female","37"
"Male","29"
"26",""
"Female","16"
"Male","21"
"27",""
"Female","19"
"Male","24"
"28",""
"Female","27"
"Male","28"
"29",""
"Female","12"
"Male","16"
"3",""
"Female","42"
"Male","30"
"30",""
"Female","57"
"Male","36"
"31",""
"Female","18"
"Male","14"
"32",""
"Female","19"
"Male","26"
"33",""
"Female","15"
"Male","17"
"34",""
"Female","18"
"Male","22"
"35",""
"Female","30"
"Male","28"
"36",""
"Female","16"
"Male","13"
"37",""
"Female","29"
"Male","26"
"38",""
"Female","33"
"Male","23"
"39",""
"Female","15"
"Male","15"
"4",""
"Female","47"
"Male","45"
"40",""
"Female","41"
"Male","41"
"41",""
"Female","16"
"Male","18"
"42",""
"Female","20"
"Male","18"
"43",""
"Female","14"
"Male","14"
"44",""
"Female","9"
"Male","14"
"45",""
"Female","24"
"Male","33"
"46",""
"Female","7"
"Male","10"
"47",""
"Female","6"
"Male","10"
"48",""
"Female","12"
"Male","19"
"49",""
"Female","12"
"Male","11"
"5",""
"Female","50"
"Male","51"
"50",""
"Female","18"
"Male","18"
"51",""
"Female","16"
"Male","7"
"52",""
"Female","15"
"Male","14"
"53",""
"Female","14"
"Male","6"
"54",""
"Female","7"
"Male","8"
"55",""
"Female","28"
"Male","28"
"56",""
"Female","6"
"Male","4"
"57",""
"Female","9"
"Male","6"
"58",""
"Female","13"
"Male","10"
"59",""
"Female","5"
"Male","8"
"6",""
"Female","46"
"Male","38"
"60",""
"Female","21"
"Male","27"
"61",""
"Female","11"
"Male","7"
"62",""
"Female","8"
"Male","12"
"63",""
"Female","4"
"Male","8"
"64",""
"Female","7"
"Male","4"
"65",""
"Female","22"
"Male","21"
"66",""
"Female","6"
"Male","3"
"67",""
"Female","7"
"Male","5"
"68",""
"Female","4"
"Male","9"
"69",""
"Female","3"
"Male","6"
"7",""
"Female","38"
"Male","45"
"70",""
"Female","5"
"Male","10"
"71",""
"Female","7"
"Male","6"
"72",""
"Female","4"
"Male","4"
"73",""
"Female","2"
"Male","4"
"75",""
"Female","3"
"Male","3"
"76",""
"Female","3"
"Male","2"
"77",""
"Female","2"
"Male","0"
"78",""
"Female","1"
"Male","1"
"79",""
"Female","0"
"Male","1"
"8",""
"Female","46"
"Male","45"
"80",""
"Female","3"
"Male","1"
"81",""
"Female","0"
"Male","1"
"82",""
"Female","1"
"Male","2"
"84",""
"Female","1"
"Male","1"
"85",""
"Female","2"
"Male","2"
"9",""
"Female","44"
"Male","52"
