"Population by Five Years Age Group","Number"
"0-4",""
"Female","1957"
"Male","1982"
"10-14",""
"Female","2235"
"Male","2523"
"15-19",""
"Female","1743"
"Male","1971"
"20-24",""
"Female","1561"
"Male","1489"
"25-29",""
"Female","1285"
"Male","1397"
"30-34",""
"Female","1096"
"Male","1055"
"35-39",""
"Female","938"
"Male","948"
"40-44",""
"Female","824"
"Male","868"
"45-49",""
"Female","701"
"Male","758"
"50-54",""
"Female","496"
"Male","667"
"55-59",""
"Female","437"
"Male","422"
"5-9",""
"Female","2494"
"Male","2570"
"60-64",""
"Female","382"
"Male","513"
"65-69",""
"Female","353"
"Male","311"
"70-74",""
"Female","251"
"Male","336"
"75+",""
"Female","211"
"Male","268"
