"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","4"
"Cow Dung","21"
"Electricity","0"
"Kerosene","85"
"LP Gas","5"
"Not stated","39"
"Others","3"
"Wood/Firewood","5751"
"Total","5908"
