"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1728"
"Male","1343"
"","3071"
"Chhetri",""
"Female","2236"
"Male","1575"
"","3811"
"Damai/Dholi",""
"Female","327"
"Male","249"
"","576"
"Gharti/Bhujel",""
"Female","165"
"Male","132"
"","297"
"Gurung",""
"Female","1119"
"Male","852"
"","1971"
"Kami",""
"Female","921"
"Male","646"
"","1567"
"Magar",""
"Female","34"
"Male","25"
"","59"
"Musalman",""
"Female","7"
"Male","4"
"","11"
"Newar",""
"Female","54"
"Male","50"
"","104"
"Others",""
"Female","19"
"Male","13"
"","32"
"Sanyasi/Dasnami",""
"Female","10"
"Male","7"
"","17"
"Sarki",""
"Female","445"
"Male","350"
"","795"
"Terai Others",""
"Female","10"
"Male","3"
"","13"
"Thakuri",""
"Female","7"
"Male","10"
"","17"
