"Population by Five Years Age Group","Number"
"0-4",""
"Female","2013"
"Male","2064"
"10-14",""
"Female","2900"
"Male","2933"
"15-19",""
"Female","2425"
"Male","2593"
"20-24",""
"Female","2038"
"Male","1980"
"25-29",""
"Female","1983"
"Male","1823"
"30-34",""
"Female","1575"
"Male","1522"
"35-39",""
"Female","1455"
"Male","1488"
"40-44",""
"Female","1175"
"Male","1301"
"45-49",""
"Female","943"
"Male","1035"
"50-54",""
"Female","807"
"Male","969"
"55-59",""
"Female","623"
"Male","696"
"5-9",""
"Female","2563"
"Male","2732"
"60-64",""
"Female","677"
"Male","711"
"65-69",""
"Female","423"
"Male","512"
"70-74",""
"Female","277"
"Male","347"
"75+",""
"Female","309"
"Male","335"
