"Number of households by type of outer wall","Number"
"BambooWall","5234"
"Cement Bonded Bricks/Stone Wall","1697"
"Mud Bonded Bricks/Stone Wall","338"
"Not stated","114"
"Others","10"
"Unbaked Bricks","8"
"Wood/Planks","828"
"Total","8229"
