"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","27"
"Male","37"
"Chamling",""
"Female","4"
"Male","7"
"Hindi",""
"Female","7"
"Male","8"
"Magahi",""
"Female","179"
"Male","184"
"Magar",""
"Female","1172"
"Male","1164"
"Maithili",""
"Female","12039"
"Male","12881"
"Majhi",""
"Female","361"
"Male","346"
"Nepali",""
"Female","6135"
"Male","6049"
"Newar",""
"Female","242"
"Male","285"
"Not Reported",""
"Female","99"
"Male","96"
"Others",""
"Female","32"
"Male","29"
"Rai",""
"Female","35"
"Male","22"
"Sunuwar",""
"Female","47"
"Male","38"
"Tamang",""
"Female","1734"
"Male","1765"
"Urdu",""
"Female","73"
"Male","67"
