"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","6"
"Cow Dung","6"
"Electricity Fuel","0"
"KeroseneFuel","15"
"LP Gas","4"
"Not Sated about Fuel","9"
"OthersFuel","2"
"Wood/FireWood","4068"
"Total","4110"
