"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","21"
"Cow Dung","6"
"Electricity Fuel","0"
"KeroseneFuel","44"
"LP Gas","75"
"Not Sated about Fuel","14"
"OthersFuel","6"
"Wood/FireWood","4996"
"Total","5162"
