"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","335"
"Cow Dung","3998"
"Electricity","2"
"Kerosene","131"
"LP Gas","456"
"Not stated","29"
"Others","92"
"Wood/Firewood","2877"
"Total","7920"
