"Population by Five Years Age Group","Number"
"0-4",""
"Female","3313"
"Male","3572"
"10-14",""
"Female","4888"
"Male","4863"
"15-19",""
"Female","4039"
"Male","3648"
"20-24",""
"Female","3102"
"Male","2039"
"25-29",""
"Female","2699"
"Male","1907"
"30-34",""
"Female","2029"
"Male","1488"
"35-39",""
"Female","2052"
"Male","1585"
"40-44",""
"Female","1788"
"Male","1690"
"45-49",""
"Female","1411"
"Male","1335"
"50-54",""
"Female","1121"
"Male","1272"
"55-59",""
"Female","926"
"Male","929"
"5-9",""
"Female","4367"
"Male","4385"
"60-64",""
"Female","930"
"Male","938"
"65-69",""
"Female","652"
"Male","659"
"70-74",""
"Female","459"
"Male","462"
"75+",""
"Female","595"
"Male","501"
