"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","10"
"Male","48"
"","58"
"Chepang",""
"Female","40"
"Male","51"
"","91"
"Hindi",""
"Female","5"
"Male","13"
"","18"
"Magar",""
"Female","74"
"Male","59"
"","133"
"Maithili",""
"Female","2"
"Male","16"
"","18"
"Nepali",""
"Female","10727"
"Male","10233"
"","20960"
"Newar",""
"Female","69"
"Male","47"
"","116"
"Not Reported",""
"Female","16"
"Male","14"
"","30"
"Others",""
"Female","19"
"Male","16"
"","35"
"Rai",""
"Female","7"
"Male","11"
"","18"
"Tamang",""
"Female","2783"
"Male","2775"
"","5558"
"Urdu",""
"Female","21"
"Male","28"
"","49"
