"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","108"
"Cow Dung","2"
"Electricity Fuel","3"
"KeroseneFuel","43"
"LP Gas","881"
"Not Sated about Fuel","31"
"OthersFuel","3"
"Wood/FireWood","4529"
"Total","5600"
