"Industries Employment","Number"
"Accommodation,  food",""
"Female","5853"
"Male","5738"
"Administrative, support service",""
"Female","161"
"Male","751"
"Agriculture, forestry and  fishing",""
"Female","362"
"Male","714"
"Arts, entertainment, recreation",""
"Female","60"
"Male","481"
"Construction",""
"Female","2"
"Male","137"
"Education",""
"Female","6939"
"Male","8904"
"Electricity, gas and water",""
"Female","27"
"Male","155"
"Financial intermediation and insurance",""
"Female","3078"
"Male","4154"
"Health, social work",""
"Female","1877"
"Male","1865"
"Information and communication",""
"Female","198"
"Male","503"
"Manufacturing",""
"Female","8257"
"Male","19003"
"Other service activities",""
"Female","1356"
"Male","3082"
"Professional, scientific, techniqual activity",""
"Female","168"
"Male","715"
"Real estate, renting and business activity",""
"Female","17"
"Male","63"
"Transportation,  storage",""
"Female","52"
"Male","310"
"Water supply, wet management",""
"Female","40"
"Male","229"
"Wholesale, retail trade",""
"Female","15221"
"Male","22199"
