"Industries Types","Number"
"Accommodation and food","4828"
"Administrative and support service activity","212"
"Agriculture, forestry and fishing","318"
"Art, entertainment and recreation","73"
"Construction","17"
"Education","1154"
"Electricty gas and water","6"
"Financial intermediation and insurance","488"
"Health and social work","402"
"Information and communications","87"
"Manufacturing","3836"
"Mining and quarrying","24"
"Other service activities","2175"
"Professional,scientific and techniqual activity","317"
"Real state, renting and business activities","3"
"Transport and storage","93"
"Water supply, wet management","60"
"Wholesale and retail trade","17443"
"Total","31536"
