"Population by Five Years Age Group","Number"
"0-4",""
"Female","2589"
"Male","2621"
"10-14",""
"Female","3448"
"Male","3539"
"15-19",""
"Female","2732"
"Male","2684"
"20-24",""
"Female","2320"
"Male","1754"
"25-29",""
"Female","2253"
"Male","1719"
"30-34",""
"Female","2052"
"Male","1436"
"35-39",""
"Female","1932"
"Male","1750"
"40-44",""
"Female","1490"
"Male","1449"
"45-49",""
"Female","1263"
"Male","1300"
"50-54",""
"Female","1033"
"Male","1090"
"55-59",""
"Female","874"
"Male","1048"
"5-9",""
"Female","3234"
"Male","3450"
"60-64",""
"Female","825"
"Male","826"
"65-69",""
"Female","544"
"Male","589"
"70-74",""
"Female","369"
"Male","411"
"75+",""
"Female","379"
"Male","363"
