"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2467"
"Male","1967"
"Chhantyal/Chhantel",""
"Female","24"
"Male","15"
"Chhetri",""
"Female","597"
"Male","443"
"Damai/Dholi",""
"Female","554"
"Male","435"
"Gharti/Bhujel",""
"Female","30"
"Male","34"
"Gurung",""
"Female","221"
"Male","161"
"Kami",""
"Female","966"
"Male","717"
"Magar",""
"Female","4605"
"Male","3579"
"Musalman",""
"Female","9"
"Male","10"
"Newar",""
"Female","141"
"Male","124"
"Others",""
"Female","24"
"Male","27"
"Sanyasi/Dasnami",""
"Female","374"
"Male","312"
"Sarki",""
"Female","431"
"Male","333"
"Thakali",""
"Female","12"
"Male","7"
"Thakuri",""
"Female","146"
"Male","111"
