"Population by Five Years Age Group","Number"
"0-4",""
"Female","872"
"Male","968"
"10-14",""
"Female","1361"
"Male","1283"
"15-19",""
"Female","1265"
"Male","1095"
"20-24",""
"Female","930"
"Male","477"
"25-29",""
"Female","752"
"Male","323"
"30-34",""
"Female","625"
"Male","262"
"35-39",""
"Female","563"
"Male","244"
"40-44",""
"Female","524"
"Male","311"
"45-49",""
"Female","504"
"Male","331"
"50-54",""
"Female","482"
"Male","382"
"55-59",""
"Female","416"
"Male","348"
"5-9",""
"Female","1123"
"Male","1102"
"60-64",""
"Female","400"
"Male","344"
"65-69",""
"Female","272"
"Male","307"
"70-74",""
"Female","224"
"Male","232"
"75+",""
"Female","288"
"Male","275"
