"Number of households by type of outer wall","Number"
"BambooWall","776"
"Cement Bonded Bricks/Stone Wall","1681"
"Mud Bonded Bricks/Stone Wall","765"
"Not stated","49"
"Others","328"
"Unbaked Bricks","12"
"Wood/Planks","5246"
"Total","8857"
