"Population by Five Years Age Group","Number"
"0-4",""
"Female","2389"
"Male","2504"
"10-14",""
"Female","3394"
"Male","3650"
"15-19",""
"Female","3032"
"Male","2628"
"20-24",""
"Female","2513"
"Male","1735"
"25-29",""
"Female","2126"
"Male","1546"
"30-34",""
"Female","1724"
"Male","1257"
"35-39",""
"Female","1549"
"Male","1154"
"40-44",""
"Female","1191"
"Male","983"
"45-49",""
"Female","943"
"Male","889"
"50-54",""
"Female","752"
"Male","743"
"55-59",""
"Female","580"
"Male","608"
"5-9",""
"Female","2983"
"Male","3096"
"60-64",""
"Female","646"
"Male","568"
"65-69",""
"Female","420"
"Male","418"
"70-74",""
"Female","317"
"Male","328"
"75+",""
"Female","356"
"Male","338"
