"Population by Five Years Age Group","Number"
"0-4",""
"Female","1890"
"Male","1949"
"10-14",""
"Female","2123"
"Male","2314"
"15-19",""
"Female","1163"
"Male","1459"
"20-24",""
"Female","1126"
"Male","867"
"25-29",""
"Female","1363"
"Male","995"
"30-34",""
"Female","1198"
"Male","973"
"35-39",""
"Female","1038"
"Male","903"
"40-44",""
"Female","754"
"Male","768"
"45-49",""
"Female","613"
"Male","699"
"50-54",""
"Female","547"
"Male","539"
"55-59",""
"Female","540"
"Male","549"
"5-9",""
"Female","2500"
"Male","2449"
"60-64",""
"Female","505"
"Male","501"
"65-69",""
"Female","355"
"Male","419"
"70-74",""
"Female","217"
"Male","235"
"75+",""
"Female","138"
"Male","162"
