"Number of households by type of outer wall","Number"
"BambooWall","2631"
"Cement Bonded Bricks/Stone Wall","612"
"Mud Bonded Bricks/Stone Wall","236"
"Not stated","47"
"Others","45"
"Unbaked Bricks","12"
"Wood/Planks","90"
"Total","3673"
