"Population by Five Years Age Group","Number"
"0-4",""
"Female","1121"
"Male","1111"
"10-14",""
"Female","1362"
"Male","1336"
"15-19",""
"Female","893"
"Male","943"
"20-24",""
"Female","767"
"Male","602"
"25-29",""
"Female","844"
"Male","576"
"30-34",""
"Female","722"
"Male","483"
"35-39",""
"Female","682"
"Male","533"
"40-44",""
"Female","532"
"Male","443"
"45-49",""
"Female","427"
"Male","446"
"50-54",""
"Female","338"
"Male","359"
"55-59",""
"Female","290"
"Male","336"
"5-9",""
"Female","1370"
"Male","1398"
"60-64",""
"Female","273"
"Male","266"
"65-69",""
"Female","209"
"Male","210"
"70-74",""
"Female","123"
"Male","131"
"75+",""
"Female","113"
"Male","130"
