"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","215"
"Male","202"
"Chhetri",""
"Female","325"
"Male","354"
"Dalit Others",""
"Female","10"
"Male","5"
"Damai/Dholi",""
"Female","25"
"Male","27"
"Ghale",""
"Female","6"
"Male","7"
"Gurung",""
"Female","37"
"Male","35"
"Kami",""
"Female","94"
"Male","86"
"Magar",""
"Female","572"
"Male","528"
"Majhi",""
"Female","83"
"Male","60"
"Newar",""
"Female","20"
"Male","18"
"Others",""
"Female","13"
"Male","22"
"Pahari",""
"Female","51"
"Male","62"
"Tamang",""
"Female","5883"
"Male","5658"
