"Industries Employment","Number"
"Accommodation,  food",""
"Female","1288"
"Male","1426"
"Administrative, support service",""
"Female","4"
"Male","48"
"Agriculture, forestry and  fishing",""
"Female","3601"
"Male","5621"
"Arts, entertainment, recreation",""
"Female","26"
"Male","138"
"Construction",""
"Female","9"
"Male","114"
"Education",""
"Female","2268"
"Male","3067"
"Electricity, gas and water",""
"Female","59"
"Male","159"
"Financial intermediation and insurance",""
"Female","883"
"Male","784"
"Health, social work",""
"Female","819"
"Male","723"
"Information and communication",""
"Female","31"
"Male","109"
"Manufacturing",""
"Female","752"
"Male","1511"
"Other service activities",""
"Female","1036"
"Male","1445"
"Professional, scientific, techniqual activity",""
"Female","29"
"Male","82"
"Real estate, renting and business activity",""
"Female","2"
"Male","7"
"Transportation,  storage",""
"Female","45"
"Male","116"
"Water supply, wet management",""
"Female","205"
"Male","348"
"Wholesale, retail trade",""
"Female","3243"
"Male","3833"
