"Industries Employment","Number"
"Accommodation,  food",""
"Female","1779"
"Male","1233"
"Administrative, support service",""
"Female","22"
"Male","77"
"Agriculture, forestry and  fishing",""
"Female","736"
"Male","792"
"Arts, entertainment, recreation",""
"Female","2"
"Male","38"
"Construction",""
"Female","2"
"Male","32"
"Education",""
"Female","2247"
"Male","3287"
"Electricity, gas and water",""
"Female","41"
"Male","579"
"Financial intermediation and insurance",""
"Female","205"
"Male","520"
"Health, social work",""
"Female","387"
"Male","422"
"Information and communication",""
"Female","40"
"Male","114"
"Manufacturing",""
"Female","1321"
"Male","2655"
"Other service activities",""
"Female","541"
"Male","1060"
"Professional, scientific, techniqual activity",""
"Female","35"
"Male","142"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","26"
"Male","79"
"Water supply, wet management",""
"Female","24"
"Male","59"
"Wholesale, retail trade",""
"Female","4282"
"Male","4023"
