"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","228"
"Cow Dung","4"
"Electricity Fuel","3"
"KeroseneFuel","12"
"LP Gas","215"
"Not Sated about Fuel","8"
"OthersFuel","2"
"Wood/FireWood","4798"
"Total","5270"
