"Population by Caste Ethinicity","Number"
"Bote",""
"Female","196"
"Male","145"
"","341"
"Brahman - Hill",""
"Female","4288"
"Male","3009"
"","7297"
"Chhetri",""
"Female","212"
"Male","151"
"","363"
"Damai/Dholi",""
"Female","292"
"Male","215"
"","507"
"Gharti/Bhujel",""
"Female","73"
"Male","53"
"","126"
"Gurung",""
"Female","8"
"Male","5"
"","13"
"Kami",""
"Female","870"
"Male","613"
"","1483"
"Kumal",""
"Female","639"
"Male","568"
"","1207"
"Magar",""
"Female","5151"
"Male","3802"
"","8953"
"Musalman",""
"Female","12"
"Male","8"
"","20"
"Newar",""
"Female","317"
"Male","262"
"","579"
"Others",""
"Female","16"
"Male","16"
"","32"
"Sarki",""
"Female","185"
"Male","104"
"","289"
"Tamang",""
"Female","16"
"Male","1"
"","17"
"Thakuri",""
"Female","73"
"Male","50"
"","123"
"Tharu",""
"Female","3"
"Male","8"
"","11"
