"Population by Caste Ethinicity","Number"
"Badi",""
"Female","13"
"Male","10"
"","23"
"Baraee",""
"Female","8"
"Male","12"
"","20"
"Brahman - Hill",""
"Female","593"
"Male","554"
"","1147"
"Chhetri",""
"Female","3413"
"Male","3056"
"","6469"
"Damai/Dholi",""
"Female","426"
"Male","385"
"","811"
"Gaine",""
"Female","18"
"Male","23"
"","41"
"Gurung",""
"Female","282"
"Male","281"
"","563"
"Kami",""
"Female","1270"
"Male","1154"
"","2424"
"Magar",""
"Female","1298"
"Male","1233"
"","2531"
"Musalman",""
"Female","30"
"Male","26"
"","56"
"Newar",""
"Female","6"
"Male","8"
"","14"
"Others",""
"Female","18"
"Male","16"
"","34"
"Rai",""
"Female","10"
"Male","10"
"","20"
"Sanyasi/Dasnami",""
"Female","41"
"Male","43"
"","84"
"Sarki",""
"Female","247"
"Male","202"
"","449"
"Tamang",""
"Female","9"
"Male","2"
"","11"
"Thakuri",""
"Female","648"
"Male","538"
"","1186"
