"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","1066"
"Christianity","170"
"Hindu","14590"
"Islam","56"
"Jainism","0"
"Kirat","0"
"Prakriti","0"
"Sikhism","0"
"Undefined","1"
"Total","15883"
