"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","7"
"Cow Dung","3"
"Electricity Fuel","0"
"KeroseneFuel","3"
"LP Gas","22"
"Not Sated about Fuel","27"
"OthersFuel","0"
"Wood/FireWood","2982"
"Total","3044"
