"Number of households by type of outer wall","Number"
"BambooWall","240"
"Cement Bonded Bricks/Stone Wall","2276"
"Mud Bonded Bricks/Stone Wall","42107"
"Not Stated about Wall","281"
"Other Type Wall","60"
"Unbaked Bricks","9"
"Wood/Planks","685"
"Total","45658"
