"Agricultural land use area","Hectare"
"Area under arable land","24025.00"
"Area under meadows and pasture","214.00"
"Area under permanent crops","412.00"
"Area under Temporary crops","23460.00"
"Area under temporary fallow","478.00"
"Area under temporary meadows","87.00"
"Other land","989.00"
"Ponds","2.00"
"Woodland and forest","1203.00"
"Total","50870.00"
