"Population by Mother tongue","Number"
"Achhami",""
"Female","1"
"Male","14"
"","15"
"Avadhi",""
"Female","5"
"Male","55"
"","60"
"Baitadeli",""
"Female","2"
"Male","18"
"","20"
"Bajhangi",""
"Female","4"
"Male","25"
"","29"
"Bajjika",""
"Female","7"
"Male","33"
"","40"
"Bantawa",""
"Female","23"
"Male","17"
"","40"
"Bhojpuri",""
"Female","111"
"Male","243"
"","354"
"Chamling",""
"Female","12"
"Male","31"
"","43"
"Chepang",""
"Female","7"
"Male","8"
"","15"
"Doteli",""
"Female","79"
"Male","475"
"","554"
"English",""
"Female","36"
"Male","95"
"","131"
"Gurung",""
"Female","138"
"Male","142"
"","280"
"Hindi",""
"Female","34"
"Male","60"
"","94"
"Khash",""
"Female","5"
"Male","14"
"","19"
"Kumal",""
"Female","4"
"Male","8"
"","12"
"Limbu",""
"Female","73"
"Male","139"
"","212"
"Magar",""
"Female","286"
"Male","355"
"","641"
"Maithili",""
"Female","283"
"Male","1149"
"","1432"
"Nepali",""
"Female","14772"
"Male","20128"
"","34900"
"Newar",""
"Female","11687"
"Male","11378"
"","23065"
"Not Reported",""
"Female","11"
"Male","9"
"","20"
"Others",""
"Female","63"
"Male","124"
"","187"
"Rai",""
"Female","150"
"Male","174"
"","324"
"Rajbanshi",""
"Female","6"
"Male","10"
"","16"
"Sampang",""
"Female","10"
"Male","11"
"","21"
"Sherpa",""
"Female","15"
"Male","31"
"","46"
"Sunuwar",""
"Female","4"
"Male","7"
"","11"
"Tamang",""
"Female","1159"
"Male","1338"
"","2497"
"Thami",""
"Female","7"
"Male","5"
"","12"
"Tharu",""
"Female","124"
"Male","349"
"","473"
"Urdu",""
"Female","8"
"Male","31"
"","39"
