"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","6"
"Cow Dung","1"
"Electricity Fuel","0"
"KeroseneFuel","0"
"LP Gas","1"
"Not Sated about Fuel","19"
"OthersFuel","2"
"Wood/FireWood","2894"
"Total","2923"
