"Population by Five Years Age Group","Number"
"0-4",""
"Female","2393"
"Male","2746"
"10-14",""
"Female","3614"
"Male","3691"
"15-19",""
"Female","3626"
"Male","3197"
"20-24",""
"Female","3734"
"Male","2243"
"25-29",""
"Female","3041"
"Male","1827"
"30-34",""
"Female","2410"
"Male","1435"
"35-39",""
"Female","2064"
"Male","1367"
"40-44",""
"Female","1636"
"Male","1165"
"45-49",""
"Female","1460"
"Male","1028"
"50-54",""
"Female","1301"
"Male","1015"
"55-59",""
"Female","1113"
"Male","912"
"5-9",""
"Female","3040"
"Male","3367"
"60-64",""
"Female","1014"
"Male","828"
"65-69",""
"Female","798"
"Male","685"
"70-74",""
"Female","565"
"Male","525"
"75+",""
"Female","735"
"Male","695"
