"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","1093"
"Mud Roof","77"
"Not Sated Roof","70"
"Other Type of Roof","92"
"RCC Roof","376"
"Thatch/Straw Roof","3652"
"Tile/Slate Roof","4199"
"Wood/Planks Roof","13"
"Total","9572"
