"Population by Single Year of Age","Number"
"0",""
"Female","309"
"Male","340"
"1",""
"Female","264"
"Male","287"
"10",""
"Female","719"
"Male","764"
"11",""
"Female","290"
"Male","319"
"12",""
"Female","618"
"Male","616"
"13",""
"Female","400"
"Male","375"
"14",""
"Female","468"
"Male","464"
"15",""
"Female","446"
"Male","434"
"16",""
"Female","491"
"Male","445"
"17",""
"Female","314"
"Male","293"
"18",""
"Female","479"
"Male","552"
"19",""
"Female","200"
"Male","190"
"2",""
"Female","319"
"Male","361"
"20",""
"Female","497"
"Male","445"
"21",""
"Female","129"
"Male","141"
"22",""
"Female","365"
"Male","325"
"23",""
"Female","269"
"Male","172"
"24",""
"Female","261"
"Male","186"
"25",""
"Female","503"
"Male","410"
"26",""
"Female","276"
"Male","178"
"27",""
"Female","184"
"Male","160"
"28",""
"Female","493"
"Male","304"
"29",""
"Female","104"
"Male","68"
"3",""
"Female","423"
"Male","425"
"30",""
"Female","597"
"Male","493"
"31",""
"Female","64"
"Male","60"
"32",""
"Female","255"
"Male","221"
"33",""
"Female","194"
"Male","73"
"34",""
"Female","139"
"Male","77"
"35",""
"Female","561"
"Male","495"
"36",""
"Female","130"
"Male","118"
"37",""
"Female","89"
"Male","84"
"38",""
"Female","308"
"Male","197"
"39",""
"Female","72"
"Male","41"
"4",""
"Female","409"
"Male","399"
"40",""
"Female","535"
"Male","511"
"41",""
"Female","41"
"Male","41"
"42",""
"Female","143"
"Male","179"
"43",""
"Female","142"
"Male","56"
"44",""
"Female","65"
"Male","50"
"45",""
"Female","339"
"Male","518"
"46",""
"Female","81"
"Male","62"
"47",""
"Female","46"
"Male","41"
"48",""
"Female","208"
"Male","141"
"49",""
"Female","43"
"Male","22"
"5",""
"Female","482"
"Male","523"
"50",""
"Female","316"
"Male","411"
"51",""
"Female","27"
"Male","42"
"52",""
"Female","70"
"Male","90"
"53",""
"Female","110"
"Male","44"
"54",""
"Female","59"
"Male","28"
"55",""
"Female","292"
"Male","372"
"56",""
"Female","54"
"Male","60"
"57",""
"Female","36"
"Male","29"
"58",""
"Female","141"
"Male","83"
"59",""
"Female","45"
"Male","39"
"6",""
"Female","450"
"Male","434"
"60",""
"Female","350"
"Male","405"
"61",""
"Female","33"
"Male","30"
"62",""
"Female","75"
"Male","73"
"63",""
"Female","63"
"Male","34"
"64",""
"Female","32"
"Male","26"
"65",""
"Female","272"
"Male","326"
"66",""
"Female","29"
"Male","21"
"67",""
"Female","20"
"Male","33"
"68",""
"Female","73"
"Male","62"
"69",""
"Female","16"
"Male","17"
"7",""
"Female","422"
"Male","438"
"70",""
"Female","202"
"Male","279"
"71",""
"Female","17"
"Male","12"
"72",""
"Female","34"
"Male","35"
"73",""
"Female","16"
"Male","16"
"74",""
"Female","5"
"Male","6"
"75",""
"Female","87"
"Male","107"
"76",""
"Female","5"
"Male","9"
"77",""
"Female","2"
"Male","8"
"78",""
"Female","3"
"Male","6"
"79",""
"Female","4"
"Male","1"
"8",""
"Female","587"
"Male","678"
"80",""
"Female","55"
"Male","43"
"81",""
"Female","1"
"Male","3"
"82",""
"Female","3"
"Male","2"
"83",""
"Female","1"
"Male","2"
"84",""
"Female","0"
"Male","3"
"85",""
"Female","44"
"Male","49"
"9",""
"Female","303"
"Male","299"
