"Population by Caste Ethinicity","Number"
"Badi",""
"Female","33"
"Male","20"
"","53"
"Bantaba",""
"Female","24"
"Male","14"
"","38"
"Brahman - Hill",""
"Female","543"
"Male","471"
"","1014"
"Chhetri",""
"Female","2508"
"Male","2091"
"","4599"
"Damai/Dholi",""
"Female","248"
"Male","183"
"","431"
"Gharti/Bhujel",""
"Female","191"
"Male","167"
"","358"
"Gurung",""
"Female","241"
"Male","217"
"","458"
"Kami",""
"Female","298"
"Male","223"
"","521"
"Limbu",""
"Female","3226"
"Male","2694"
"","5920"
"Magar",""
"Female","1135"
"Male","995"
"","2130"
"Newar",""
"Female","381"
"Male","317"
"","698"
"Others",""
"Female","24"
"Male","67"
"","91"
"Rai",""
"Female","166"
"Male","124"
"","290"
"Sanyasi/Dasnami",""
"Female","70"
"Male","67"
"","137"
"Sarki",""
"Female","73"
"Male","68"
"","141"
"Sherpa",""
"Female","268"
"Male","217"
"","485"
"Sunuwar",""
"Female","24"
"Male","21"
"","45"
"Tamang",""
"Female","501"
"Male","373"
"","874"
"Undefined Others",""
"Female","8"
"Male","9"
"","17"
"Yadav",""
"Female","6"
"Male","5"
"","11"
"Yakkha",""
"Female","8"
"Male","3"
"","11"
