"Population by Religion","Number"
"Bahai","0"
"Bon","1"
"Buddism","3469"
"Christianity","317"
"Hindu","8629"
"Islam","5"
"Jainism","0"
"Kirat","5759"
"Prakriti","98"
"Sikhism","2"
"Undefined","42"
"Total","18322"
