"Population by Five Years Age Group","Number"
"0-4",""
"Female","1050"
"Male","1079"
"10-14",""
"Female","1441"
"Male","1406"
"15-19",""
"Female","1321"
"Male","1139"
"20-24",""
"Female","932"
"Male","593"
"25-29",""
"Female","752"
"Male","444"
"30-34",""
"Female","550"
"Male","385"
"35-39",""
"Female","521"
"Male","374"
"40-44",""
"Female","537"
"Male","418"
"45-49",""
"Female","504"
"Male","441"
"50-54",""
"Female","432"
"Male","423"
"55-59",""
"Female","372"
"Male","319"
"5-9",""
"Female","1428"
"Male","1305"
"60-64",""
"Female","322"
"Male","317"
"65-69",""
"Female","267"
"Male","291"
"70-74",""
"Female","157"
"Male","182"
"75+",""
"Female","232"
"Male","241"
