"Number of households by type of outer wall","Number"
"BambooWall","6424"
"Cement Bonded Bricks/Stone Wall","4727"
"Mud Bonded Bricks/Stone Wall","216"
"Not Stated about Wall","39"
"Other Type Wall","238"
"Unbaked Bricks","7"
"Wood/Planks","1972"
"Total","13623"
