"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","11229"
"Mud Roof","0"
"Not Sated Roof","48"
"Other Type of Roof","88"
"RCC Roof","1400"
"Thatch/Straw Roof","755"
"Tile/Slate Roof","64"
"Wood/Planks Roof","39"
"Total","13623"
