"Population by Five Years Age Group","Number"
"0-4",""
"Female","1260"
"Male","1304"
"10-14",""
"Female","2045"
"Male","2007"
"15-19",""
"Female","1748"
"Male","1521"
"20-24",""
"Female","1254"
"Male","832"
"25-29",""
"Female","1129"
"Male","718"
"30-34",""
"Female","883"
"Male","691"
"35-39",""
"Female","938"
"Male","645"
"40-44",""
"Female","839"
"Male","665"
"45-49",""
"Female","750"
"Male","697"
"50-54",""
"Female","611"
"Male","598"
"55-59",""
"Female","500"
"Male","573"
"5-9",""
"Female","1630"
"Male","1606"
"60-64",""
"Female","510"
"Male","442"
"65-69",""
"Female","371"
"Male","395"
"70-74",""
"Female","322"
"Male","298"
"75+",""
"Female","356"
"Male","406"
