"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2333"
"Male","1950"
"Chhetri",""
"Female","2237"
"Male","1947"
"Dalit Others",""
"Female","48"
"Male","48"
"Damai/Dholi",""
"Female","297"
"Male","268"
"Danuwar",""
"Female","1205"
"Male","1020"
"Gharti/Bhujel",""
"Female","113"
"Male","119"
"Gurung",""
"Female","10"
"Male","4"
"Hyolmo",""
"Female","157"
"Male","155"
"Kami",""
"Female","460"
"Male","373"
"Magar",""
"Female","550"
"Male","531"
"Majhi",""
"Female","1322"
"Male","1117"
"Newar",""
"Female","1019"
"Male","919"
"Others",""
"Female","23"
"Male","21"
"Rai",""
"Female","4"
"Male","9"
"Sanyasi/Dasnami",""
"Female","849"
"Male","718"
"Sarki",""
"Female","503"
"Male","451"
"Sherpa",""
"Female","24"
"Male","24"
"Sunuwar",""
"Female","10"
"Male","9"
"Tamang",""
"Female","3836"
"Male","3578"
"Thakuri",""
"Female","138"
"Male","107"
"Tharu",""
"Female","3"
"Male","8"
