"Population by Religion","Number"
"Bahai","3"
"Bon","61"
"Buddism","6014"
"Christianity","566"
"Hindu","16346"
"Islam","2"
"Jainism","0"
"Kirat","0"
"Prakriti","1"
"Sikhism","0"
"Undefined","142"
"Total","23135"
