"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","12"
"Cow Dung","2377"
"Electricity Fuel","1"
"KeroseneFuel","102"
"LP Gas","19"
"Not Sated about Fuel","95"
"OthersFuel","52"
"Wood/FireWood","1350"
"Total","4008"
