"Population by Five Years Age Group","Number"
"0-4",""
"Female","1959"
"Male","1953"
"10-14",""
"Female","2507"
"Male","2527"
"15-19",""
"Female","1592"
"Male","1730"
"20-24",""
"Female","1542"
"Male","1214"
"25-29",""
"Female","1513"
"Male","1168"
"30-34",""
"Female","1368"
"Male","916"
"35-39",""
"Female","1243"
"Male","1058"
"40-44",""
"Female","1036"
"Male","882"
"45-49",""
"Female","908"
"Male","885"
"50-54",""
"Female","720"
"Male","738"
"55-59",""
"Female","655"
"Male","686"
"5-9",""
"Female","2471"
"Male","2658"
"60-64",""
"Female","573"
"Male","608"
"65-69",""
"Female","404"
"Male","464"
"70-74",""
"Female","315"
"Male","304"
"75+",""
"Female","210"
"Male","220"
