"Number of households by type of outer wall","Number"
"BambooWall","5134"
"Cement Bonded Bricks/Stone Wall","1377"
"Mud Bonded Bricks/Stone Wall","141"
"Not stated","37"
"Others","14"
"Unbaked Bricks","6"
"Wood/Planks","25"
"Total","6734"
