"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","18"
"Male","20"
"Brahman - Hill",""
"Female","4243"
"Male","3249"
"Chamar/ Harijan/ Ram",""
"Female","11"
"Male","9"
"Chhetri",""
"Female","1052"
"Male","898"
"Dalit Others",""
"Female","17"
"Male","16"
"Damai/Dholi",""
"Female","280"
"Male","245"
"Gharti/Bhujel",""
"Female","98"
"Male","89"
"Kami",""
"Female","416"
"Male","368"
"Magar",""
"Female","83"
"Male","74"
"Majhi",""
"Female","262"
"Male","235"
"Newar",""
"Female","829"
"Male","742"
"Others",""
"Female","17"
"Male","28"
"Pahari",""
"Female","174"
"Male","142"
"Sanyasi/Dasnami",""
"Female","382"
"Male","303"
"Sarki",""
"Female","107"
"Male","119"
"Tamang",""
"Female","3351"
"Male","2907"
"Thakuri",""
"Female","21"
"Male","24"
