"Population by Five Years Age Group","Number"
"0-4",""
"Female","704"
"Male","753"
"10-14",""
"Female","1608"
"Male","1658"
"15-19",""
"Female","1410"
"Male","1090"
"20-24",""
"Female","847"
"Male","448"
"25-29",""
"Female","696"
"Male","382"
"30-34",""
"Female","680"
"Male","390"
"35-39",""
"Female","698"
"Male","508"
"40-44",""
"Female","604"
"Male","531"
"45-49",""
"Female","547"
"Male","463"
"50-54",""
"Female","548"
"Male","475"
"55-59",""
"Female","417"
"Male","379"
"5-9",""
"Female","1162"
"Male","1118"
"60-64",""
"Female","488"
"Male","395"
"65-69",""
"Female","323"
"Male","322"
"70-74",""
"Female","269"
"Male","243"
"75+",""
"Female","360"
"Male","313"
